datetime,headline,sentiment
2003-07-14,Now; get paid for leading an extravagant life,0.0
2003-07-15,Demand for Ayodhya legislation a farce: Cong,-0.4939
2003-07-16,MD's fake diploma finally gets him,-0.4767
2003-07-17,ONGC plans to bid for Lanka petrol stations,0.0
2003-07-18,Maya welcomes SC order on Taj project,0.4019
2003-07-19,Nagaland ceasefire extended by a year,0.0
2003-07-20,I am not in a hurry to go to heaven: Vajpayee,0.5106
2003-07-21,Jogi's yatra: Promote thy self,0.3818
2003-07-22,Maya asks Tandon for explanation on nazul land,0.0
2003-07-23,'Evil' witch-hunt: Tribal woman tortured in MP,-0.5574
2003-07-24,Noor much better now; shifted to private ward,0.4404
2003-07-25,George may come in from Tehelka cold,0.0
2003-07-26,Oppn MPs want a broadcast regulatory body,0.0772
2003-07-27,Development authority for Sonmarg soon: Mufti,0.0772
2003-07-28,Sonia; Amarinder in yes-no number,0.0772
2003-07-29,Attack on Manipur CM deliberate: Official,-0.4767
2003-07-30,Dholavira site inundated,0.0
2003-07-31,MSP raised for oilseeds; pulses,0.0
2003-08-01,By George! NDA may boycott Sonia,-0.3802
2003-08-02,Does India really need a Uniform Civil Code?,0.0
2003-08-03,Pak steps on terror mere eyewash: IB,-0.5267
2003-08-04,(UP)heaval: Game begins,0.0
2003-08-05,Govt in sync with Advani on joint polls,0.0
2003-08-06,Cola majors cry foul,-0.4767
2003-08-07,CSE is not certified: Pepsi,0.0
2003-08-08,Yeh dil ab na maangey more,0.0
2003-08-09,Trade unions seek protection for textiles; plantations,0.0
2003-08-10,Jaitley seeks consensus on WTO plan,0.0
2003-08-11,Some cracks in Sivakasi armour,0.0
2003-08-12,Ministers to review new quota proposal,0.0
2003-08-13,After coffins; bulletproof jackets,0.0
2003-08-14,Coca-Cola loses fizz again,-0.3182
2003-08-15,Pak still backs terror: George,-0.5574
2003-08-16,Ordinance to dissolve Shirdi board soon,0.0
2003-08-17,'If Indians were 'we' not 'I'....',0.0
2003-08-18,The great Indian game show,0.6249
2003-08-19,NC to abstain from debate; voting,0.0
2003-08-20,IMG gives recommendations on uplinking issue,0.0
2003-08-21,Uplinking rules to be reworked; says govt,0.0
2003-08-22,Amar parrots aloud against Maya 'terror',0.0
2003-08-23,Iranian foreign minister visiting on Sunday,0.0
2003-08-24,Govt employees have right to strike: Sorabjee,-0.128
2003-08-25,JPC for colas; what about water?,0.0
2003-08-26,Cab; couple are key to Gateway riddle,0.0
2003-08-27,After Delhi; CAS jitters in Mumbai,0.0
2003-08-28,Diversify; reduce costs; PM tells farmers,0.0
2003-08-29,'Hindus helped; police didn't',0.0
2003-08-30,Army to help Orissa in flood rescue operations,0.7184
2003-08-31,Citizens rally for peace and harmony in Mumbai,0.7351
2003-09-01,Srinagar a dump for arms and no way to stop it,-0.7184
2003-09-02,Four face Pota for Mumbai blasts,0.0
2003-09-03,Mulayam will last: Ajit Singh,0.0
2003-09-04,Sanskrit Net on television,0.0
2003-09-05,No LeT-up in gunbattle at Kathua,-0.296
2003-09-06,Kathua encounter enters 5th day,0.0
2003-09-07,Kathua gunbattle: No signs of immediate end,-0.296
2003-09-08,254 fishermen back; 15 still missing,-0.296
2003-09-09,Centre warns and watches as Bt cotton takes over,-0.1027
2003-09-10,Is Sukhbir next target?,0.0
2003-09-11,Akali leader slaps legal notice against Punjab CM,0.128
2003-09-12,Indians in Pak jail write to PM; Sonia,0.0
2003-09-13,Karnataka flouts asset norms,0.3612
2003-09-14,Naxals attack police station; 1 cop killed,-0.8225
2003-09-15,Govt to reopen tourism office in Tel Aviv,0.0
2003-09-16,Put it mildly; BJP to defend Modi,0.0
2003-09-17,Panel seeks dismissal of Kalyan's plea,0.0
2003-09-18,Turkey not cold on terror: Atal,0.4168
2003-09-19,Cutting flab govt-style: Get cronies in,-0.128
2003-09-20,New heads of INS elected,0.0
2003-09-21,Sonia leads mourners at Richard Vadra's funeral,-0.6486
2003-09-22,VHP's rally next month on temple issue,0.0
2003-09-23,Thackeray ill; opts out of riot case hearing,-0.7506
2003-09-24,Congress fumes at Agnihotri,-0.0258
2003-09-25,Faked certificates got man jobs for 30 yrs,0.0
2003-09-26,Insat-3E to be launched on Sunday,0.128
2003-09-27,Our states are hungry: Cong,0.0
2003-09-28,Come; milk cows in Haryana,0.0
2003-09-29,Are Andamans the new Maldives?,0.0
2003-09-30,Cornered Joshi turns to HC,-0.2732
2003-10-01,Eight-year-old clears secondary exam,0.0772
2003-10-02,At last; George admits MiGs may not be safe,-0.0531
2003-10-03,World warming up to climate change,0.1531
2003-10-04,This Diwali; you can choose your decibel,0.0
2003-10-05,Govt warns WLL operators against crossing limits,-0.1027
2003-10-06,PM visits Akshardham hero at AIIMS,0.5574
2003-10-07,BJP MLA booked in Best Bakery case,0.6369
2003-10-08,No worms in chocolates; says Cadbury,-0.296
2003-10-09,Police raid on Daler's home; probe shifted,0.0
2003-10-10,It's women on top all the way,0.2023
2003-10-11,Pak will regret another war: PM,-0.7717
2003-10-12,A to Z turn up for the Big Bash,0.0
2003-10-13,CEOs bullish on bull run: poll,0.0
2003-10-14,Daler's bail plea rejected,-0.5106
2003-10-15,CRPF to replace BSF in J&K,0.0
2003-10-16,An hour later; a near repeat at the same place,0.0
2003-10-17,Anaahat: The eternity of sex,0.0
2003-10-18,Controversy dogs VHP Godhra prosecutors,0.0
2003-10-19,Some states violating NHRC directions: Anand,-0.5423
2003-10-20,Software to track AP govt,0.0
2003-10-21,Remark on Sonia casual; says Pawar,0.2023
2003-10-22,NCW takes Delhi police chief to task,0.0
2003-10-23,Pak boys in jail to have lonely Diwali,-0.3612
2003-10-24,For RSS; Advani balances peace package,0.5423
2003-10-25,Sarabhai's bail plea deferred,0.0
2003-10-26,Modi's review has babus on their toes,0.0
2003-10-27,Slow conviction; no conviction?,-0.296
2003-10-28,Gujarat govt criticised in Sarabhai case,-0.4215
2003-10-29,Questions raised about Pota amendment,0.0
2003-10-30,EC gets tough on Ajit Jogi,-0.128
2003-10-31,Police theory collapses 'between the lines',-0.296
2003-11-01,Pak wants to look into fishermen issue,0.0
2003-11-02,Close encounters; Hollywood kind,0.5267
2003-11-03,Core group to devise plan for Hurriyat talks,0.0
2003-11-04,Move to probe teachers' appointment in Haryana,0.0
2003-11-05,Media nurses grouse in Bengal,0.0
2003-11-06,Sinha urges talks in Lanka,0.0
2003-11-07,Ministry told to rework social security scheme,0.34
2003-11-08,Sushil Sharma awarded death sentence,-0.2263
2003-11-09,Climate technology: Now what's that?,0.0
2003-11-10,Advani to visit Arunachal on Nov 14,0.0
2003-11-11,RSS website poll backs Jaya's action against scribes,-0.0516
2003-11-12,SC upholds Govt Pension Scheme,0.0
2003-11-13,Jogi takes a royal ride to file papers,0.0
2003-11-14,Storm over a cup of tea blows over,0.0
2003-11-15,Film festival goes green,0.4939
2003-11-16,Monarchy in a modern world?,0.0
2003-11-17,Govt must protect citizen's rights: Sorabjee,0.3818
2003-11-18,CBI swings into action in Judeo case,0.0
2003-11-19,Gujarat CM rakes up Bhojshala issue,0.0
2003-11-20,Respite for Karaknaths,0.0
2003-11-21,Ministry wants IIMs to reduce fees,0.0
2003-11-22,Sorabjee is firefighter for govt: SC,0.0
2003-11-23,2 killed; houses damaged in J&K,-0.8126
2003-11-24,What's the CATch in Pune?,0.0
2003-11-25,I don't think I will vote,0.0
